id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2021-03-08T02:36:10;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2021-03-07T21:36:30;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2021-03-07T23:45:32;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2021-03-07T16:29:57;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2021-03-08T07:53:03;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2021-03-07T19:15:09;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2021-03-07T22:11:41;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2021-03-07T12:14:20;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2021-03-07T15:03:56;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2021-03-07T15:46:21;601;74069
